year,country,population
2007,United States,301231207.0
2008,United States,304093966.0
2009,United States,306771529.0
2010,United States,309327143.0
2011,United States,311583481.0
2012,United States,313877662.0
2013,United States,316059947.0
2014,United States,318386329.0
2015,United States,320738994.0
2016,United States,323071755.0
2017,United States,325122128.0
2018,United States,326838199.0
2019,United States,328329953.0
2020,United States,331526933.0
2021,United States,332048977.0
2022,United States,333271411.0
2023,United States,334914895.0
1985,Chile,12395274.0
1986,Chile,12588914.0
1987,Chile,12790150.0
1988,Chile,12999424.0
1989,Chile,13215005.0
1990,Chile,13437176.0
1991,Chile,13662491.0
1992,Chile,13884577.0
1993,Chile,14102276.0
1994,Chile,14316256.0
1995,Chile,14527381.0
1996,Chile,14734046.0
1997,Chile,14932434.0
1998,Chile,15127799.0
1999,Chile,15319313.0
2000,Chile,15503635.0
2001,Chile,15683849.0
2002,Chile,15857925.0
2003,Chile,16024752.0
2004,Chile,16187322.0
2005,Chile,16348778.0
2006,Chile,16509195.0
2007,Chile,16671581.0
2008,Chile,16838988.0
2009,Chile,17009731.0
2010,Chile,17181464.0
2011,Chile,17351816.0
2012,Chile,17519119.0
2013,Chile,17687006.0
2014,Chile,17864195.0
2015,Chile,18047625.0
2016,Chile,18267221.0
2017,Chile,18558868.0
2018,Chile,18893191.0
2019,Chile,19197744.0
2020,Chile,19370624.0
2021,Chile,19456334.0
2022,Chile,19553036.0
2023,Chile,19658835.0
1985,Argentina,30336441.0
1986,Argentina,30811980.0
1987,Argentina,31291762.0
1988,Argentina,31780532.0
1989,Argentina,32270948.0
1990,Argentina,32755901.0
1991,Argentina,33230294.0
1992,Argentina,33693527.0
1993,Argentina,34152717.0
1994,Argentina,34613491.0
1995,Argentina,35070020.0
1996,Argentina,35513793.0
1997,Argentina,35947791.0
1998,Argentina,36372860.0
1999,Argentina,36794682.0
2000,Argentina,37213984.0
2001,Argentina,37624825.0
2002,Argentina,38029349.0
2003,Argentina,38424282.0
2004,Argentina,38815916.0
2005,Argentina,39216789.0
2006,Argentina,39622115.0
2007,Argentina,40016763.0
2008,Argentina,40424148.0
2009,Argentina,40854831.0
2010,Argentina,41288694.0
2011,Argentina,41730660.0
2012,Argentina,42161721.0
2013,Argentina,42582455.0
2014,Argentina,43024071.0
2015,Argentina,43477012.0
2016,Argentina,43900313.0
2017,Argentina,44288894.0
2018,Argentina,44654882.0
